Name,degree,weightedDegree,betweenness,closeness,eigenvector,community
Stef Elorriaga,2.0,2.0,0.0,0.23690700710866097,0.0007262893632102948,81
Katelyn Brandt,1.0,2.0,0.0,0.23649529326574945,0.006777331537003577,1685
Mandeep Kaur Riar,5.0,5.0,0.0,0.27144281914893614,0.00433171813122462,1287
Chenxi Zhang,5.0,5.0,0.0,0.27144281914893614,0.00433171813122462,1287
John Williamson,3.0,3.0,0.0,0.2532175531090092,0.001875060579441718,40
James Burton,3.0,3.0,0.0,0.2532175531090092,0.001875060579441718,40
Shaobo Cai,4.0,4.0,0.0,0.20739141478282958,0.000285310283782098,735
Mahsa Mohiti Asli,4.0,4.0,0.0,0.20739141478282958,0.000285310283782098,735
Alejandro Gutierrez-Li,0.0,0.0,0.0,0.0,1.9034521617055686e-233,8
Mary Grace,1.0,1.0,0.0,0.2091176847227558,0.0008382974104020752,25
Yeqing Kong,1.0,1.0,0.0,0.6,2.0997466564254865e-22,701
Reza Amindarbari,2.0,2.0,0.0,0.19449737970462125,0.00011937990442887893,479
Qin Yang,3.0,3.0,0.0,0.24935104596121546,0.0012220325558237395,1405
Charles Thomas Zila,3.0,4.0,33.8375412569596,0.24938912645082467,0.0014480178124675926,1405
Rachel Maguire,5.0,5.0,0.0,0.21467069804127778,0.00022946971719222113,479
Randy Jirtle,5.0,5.0,0.0,0.21467069804127778,0.00022946971719222113,479
Cathrine Hoyo,5.0,5.0,0.0,0.21467069804127778,0.00022946971719222113,479
Crissi Martinez-Brokaw,1.0,1.0,0.0,0.2091176847227558,0.0008382974104020752,25
Deniz Durmusoglu,5.0,5.0,0.0,0.20676120536844772,0.0012793192387873095,1685
Ibrahim Al'Abri,5.0,5.0,0.0,0.20676120536844772,0.0012793192387873095,1685
Zidan Li,5.0,5.0,0.0,0.20676120536844772,0.0012793192387873095,1685
Cassie Newman,7.0,8.0,1653.6483971150597,0.28800705467372134,0.003290617958244093,81
Alice R. Toms,1.0,1.0,0.0,0.23649529326574945,0.006777331537003577,1685
Brian Wiegmann,2.0,2.0,0.0,0.2015800518454512,0.00014997491831969523,927
Rukesh Chinthapatla,7.0,7.0,0.0,0.20927848263488402,0.001326314107301531,25
Nichol Henderson,7.0,7.0,0.0,0.20927848263488402,0.001326314107301531,25
Danielle Meritet,7.0,7.0,0.0,0.20927848263488402,0.001326314107301531,25
Annie Oh,7.0,7.0,0.0,0.20927848263488402,0.001326314107301531,25
Jazz Stephens,7.0,7.0,0.0,0.20927848263488402,0.001326314107301531,25
Ana-Maria Staicu,1.0,1.0,0.0,0.266873672168655,0.003234336513726522,1556
Aydin Beseli,3.0,3.0,0.0,0.26186658114175754,0.011204026966958597,1221
Gregory Reeves,3.0,3.0,0.0,0.26186658114175754,0.011204026966958597,1221
Sharva Hiremath,3.0,3.0,0.0,0.26186658114175754,0.011204026966958597,1221
Erin Marie Slabaugh,4.0,6.0,8.8,0.23801195161055239,0.0007866290287295214,81
Gary Roberson,6.0,11.0,0.0,0.25404480398257623,0.0054983916798259595,185
Jason Ward,9.0,9.0,715.8444620027328,0.2811155104148735,0.008443746224906401,185
Chad Poole,4.0,4.0,0.0,0.2311721404303511,0.0017041359977811787,185
Mohamed Youssef,4.0,4.0,0.0,0.2311721404303511,0.0017041359977811787,185
Hossam Moursi,4.0,4.0,0.0,0.2311721404303511,0.0017041359977811787,185
Cord Anthony,4.0,4.0,0.0,0.2647106500243151,0.0018857400752136204,897
Laura Merriman,4.0,4.0,0.0,0.2647106500243151,0.0018857400752136204,897
Tiffany L. Messer,2.0,2.0,0.0,0.263557133634603,0.001665627108590042,897
Eban Bean,2.0,2.0,0.0,0.263557133634603,0.001665627108590042,897
Christopher Bobbitt,1.0,1.0,0.0,0.17467108781687882,0.000006699150284731829,979
Sudhin Roy,4.0,4.0,0.0,0.2684089414858646,0.00242283645908629,48
Lingshan Li,8.0,8.0,0.0,0.26858552631578947,0.003796931008981695,48
Nrup Laljibhai Balar,8.0,8.0,0.0,0.26858552631578947,0.003796931008981695,48
Yanming Li,5.0,5.0,0.0,0.26483944210184884,0.0023320249342868625,48
Chul Woo Oh,5.0,5.0,0.0,0.26483944210184884,0.0023320249342868625,48
Micah Vandegrift,3.0,5.0,0.0,0.2656148340923878,0.0021567135049495125,897
Mai Xiong,4.0,5.0,4.99899089906485,0.22874352150161087,0.0011371880425450841,1405
Alexandr Koryachko,6.0,6.0,0.0,0.26617766911165447,0.018588295562649244,1221
Vijayakumar R.V. Somalinga,2.0,3.0,0.0,0.23513318934485242,0.0010406980720553476,40
Hongyu Ru,2.0,2.0,0.0,0.20855683269476372,0.00044219614712338255,927
Robert Om Mwanga,1.0,1.0,0.0,0.25663994970925663,0.001650782054558224,897
Natasha Olby,6.0,6.0,0.0,0.2698727483060651,0.005252373721079947,1556
Alejandra Mondino Vero,6.0,6.0,0.0,0.2698727483060651,0.005252373721079947,1556
Katharine Russell,6.0,6.0,0.0,0.2698727483060651,0.005252373721079947,1556
Catherine Gensler,6.0,6.0,0.0,0.20866342959366216,0.0005761927502443087,927
