community,author_count,nc_author_count,paper_count,topic_assignments,num_topics,shannon_entropy,normalized_shannon,blau_index,hhi,rao_stirling
6653,133,15,56,8718,67,4.1153918280957615,0.9787616362529399,0.9823417924674125,0.017658207532587566,0.3348439485014474
4173,243,1,39,11311,67,4.00371676269258,0.9522020097803258,0.9800121106416251,0.019987889358374936,0.32171199940493267
3931,93,28,28,4770,67,4.024208039064704,0.9570754400704792,0.9796360903445275,0.020363909655472492,0.2966094064994341
6160,84,8,31,5490,68,4.0089930522416095,0.9501091910138575,0.9791453910239183,0.0208546089760817,0.28848727638868243
8793,18,1,5,1009,67,3.9954861630169938,0.9502445302638377,0.9787413771595777,0.021258622840422327,0.2811479028769701
3828,436,45,182,22139,68,3.9546007609040514,0.9372185186563134,0.9776095977380092,0.022390402261990825,0.2660272338178903
2210,275,16,76,12281,67,3.9319154820202464,0.9351255461308299,0.9770379988760465,0.02296200112395353,0.26521361052067116
2479,259,19,113,17331,68,3.9359626981909317,0.9328014008275544,0.9770307457501478,0.022969254249852234,0.2549118456378838
8660,221,33,79,9227,67,3.921864113827533,0.9327350341237549,0.9767341732457375,0.0232658267542625,0.25130382878546964
5649,220,11,111,11006,68,3.9004409722553346,0.9243829481507119,0.976090387847522,0.02390961215247798,0.24285023831169156
814,193,32,86,9720,68,3.8969829388605706,0.9235634133527254,0.9760346068519365,0.023965393148063473,0.24149245873616493
3633,357,62,168,16592,68,3.8890018730410953,0.9216719448741432,0.9757303437819949,0.024269656218005163,0.2352517089631741
7114,293,49,167,22597,68,3.881004951002177,0.9197767185592087,0.9754639520180086,0.024536047981991393,0.22837194757159546
6713,596,41,162,31574,67,3.8187118599376886,0.908202383766834,0.973786101027283,0.02621389897271698,0.20072059134945577
7050,339,55,89,17251,68,3.8135482951109023,0.9037898640243717,0.9736264848986163,0.0263735151013837,0.198123710092455
2005,185,7,74,11841,68,3.804373057950753,0.9016153835396237,0.9733750792146206,0.026624920785379383,0.19359185152007763
7392,341,32,165,16856,68,3.771144347033686,0.8937403627460119,0.9725319093653289,0.027468090634671104,0.17970099689583102
5536,707,226,356,46082,68,3.767507609079969,0.8928784759554614,0.972438929130096,0.027561070869904024,0.17826334021186344
889,14,1,3,566,67,3.758784098022384,0.8939497933066104,0.9721934348037808,0.027806565196219202,0.17362675850308731
2664,165,14,47,6545,67,3.7401826292305147,0.8895258150338387,0.9719437332541183,0.02805626674588163,0.17244307746068777
9541,117,16,36,4434,68,3.7489898231222853,0.8884898630528312,0.9719990828243394,0.0280009171756605,0.17096509425605877
8262,192,28,74,7778,68,3.7443304923006826,0.887385627405652,0.9718105361556396,0.028189463844360354,0.1672461295445465
2458,324,22,87,17034,67,3.723181443374987,0.8854824312732463,0.9714280009003121,0.028571999099687894,0.16276139319562805
2876,218,15,88,17540,67,3.658283074557239,0.8700476837917174,0.9700493415278841,0.02995065847211586,0.14531192486140176
6374,243,27,68,9119,68,3.6297953960468075,0.8602414427621747,0.9692870020779338,0.030712997922066172,0.12817646440556313
1021,369,18,92,14673,68,3.6441275511344244,0.8636380842874493,0.9693541703978509,0.030645829602149132,0.1260809209922813
5947,165,54,124,11548,67,3.617013848185952,0.8602326437621648,0.9687711501062597,0.031228849893740307,0.11545956917718457
8076,184,1,32,6153,68,3.5379322442332883,0.8384703836168556,0.9670904265832571,0.032909573416742985,0.08686160054282865
3105,98,37,60,3656,67,3.48800136314055,0.8295496672110539,0.96609377468889,0.033906225311109935,0.06987451684572199
7690,306,20,74,13600,67,3.4585084846858507,0.8225353902770669,0.9654358239619377,0.03456417603806227,0.057507269560231215
7375,304,13,137,16652,67,3.45619571406792,0.8219853451662151,0.9653838832412254,0.034616116758774636,0.056566888046770306
1596,416,23,103,22420,68,3.450276372809014,0.8176964266652552,0.9653011560183059,0.034698843981694066,0.055441152181007675
3510,55,1,4,501,38,3.3814937853450213,0.9295982656804953,0.9645140856012526,0.035485914398747403,0.04225703152422623
6399,64,12,32,4508,67,3.3919450959115864,0.8067046519093463,0.9642579611992168,0.035742038800783235,0.036913623511693035
1180,75,1,20,2948,45,3.3661662906081786,0.8842828329682785,0.9640406576958552,0.03595934230414475,0.03336525398411579
1480,85,0,44,5598,38,3.3421540107876533,0.9187834635479935,0.9636742489949136,0.03632575100508642,0.02684560425277386
853,55,1,10,1756,35,3.3365497555351395,0.9384593850812416,0.9636183913533035,0.03638160864669652,0.026715655886308472
9349,168,13,65,7008,51,3.330116559967718,0.8469644564731907,0.9633924161688664,0.03660758383113364,0.02207061626980733
8284,154,4,31,5834,34,3.321033288589532,0.9417736120305003,0.9633368116566099,0.03666318834339008,0.02137306620269603
1354,10,5,20,864,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
2745,34,1,13,1215,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
8413,20,8,10,918,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
1661,2,1,2,54,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
1090,31,1,1,837,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
2512,58,0,1,1566,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
6910,26,0,1,702,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
9502,23,0,1,621,27,3.295836866004329,1.0,0.962962962962963,0.037037037037037035,0.014228280393871421
