paper_id,DOI,title,year,team_size,nc_team_size,external_team_size,topics,num_topics,shannon_entropy,normalized_shannon,blau_index,hhi,rao_stirling
10.1002/2015wr017897,10.1002/2015wr017897,Calibration of soil moisture sensing with subsurface heated fiber optics using numerical simulation,2016,6,1,5,carbon capture; materials engineering; modeling; sensing; soil,5,1.6094379124341005,1.0000000000000002,0.7999999999999999,0.20000000000000004,0.3246219823480303
10.1002/2016WR020196,10.1002/2016WR020196,"Temporal variability in the importance of hydrologic, biotic, and climatic descriptors of dissolved oxygen dynamics in a shallow tidal-marsh creek",2017,5,1,4,,0,0.0,0.0,0.0,0.0,0.0
10.1002/2017gl073499,10.1002/2017gl073499,Failure of Taylor's hypothesis in the atmospheric surface layer and its correction for eddy-covariance measurements,2017,7,1,6,sensing,1,-0.0,0.0,0.0,1.0,0.0
10.1002/2017wr021730,10.1002/2017wr021730,Spatial Patterns of Development Drive Water Use,2018,5,2,3,carbon capture; community; conservation; data analytics; data science; decision support; disease control; Ecology; food security; food systems; geospatial; machine learning; modeling; nutrient cycle; policy; renewable energy; resource economics; risk management; social sciences; soil; sustainable ag; waste management,22,3.091042453358315,0.9999999999999997,0.9545454545454546,0.045454545454545456,0.3154544655754675
10.1002/9781118883303.ch4,10.1002/9781118883303.ch4,A Proteomic-Based Quantitative Analysis of the Relationship Between Monolignol Biosynthetic Protein Abundance and Lignin Content Using TransgenicPopulus trichocarpa,2016,16,3,13,Ag economics; Agtech; artificial intelligence; automation; bioremediation; biotic stress; breeding; carbon capture; community; computer vision; conservation; CPS; CRISPR; data analytics; data science; decision support; digital ag; digital twin; digital twins; disease control; Ecology; education; extension; food security; food systems; fungi; gene expression; Genetics; genomics; geospatial; imaging; IoT; labor; machine learning; mass spectronomy; materials engineering; microbes; modeling; nematodes; nutrient cycle; outreach; pathology; pest mgmt; plant health; plant improvement; plant signalling; policy; precision ag; proteomics; regenerative ag; regulatory science; renewable energy; resilient ag; resource economics; risk management; robotics; science communication; sensing; sensors; social sciences; society; soil; supply chain; sustainable ag; synthetic biology; waste management; workforce development,67,4.204692619390965,0.9999999999999998,0.9850746268656716,0.01492537313432836,0.3560844840568518
10.1002/9781119014362.ch9,10.1002/9781119014362.ch9,Innovative Processing Technologies for Mango Products,2017,3,1,2,Agtech; automation; bioremediation; biotic stress; breeding; carbon capture; community; computer vision; conservation; CRISPR; data analytics; data science; disease control; Ecology; food security; food systems; fungi; gene expression; Genetics; genomics; imaging; IoT; machine learning; mass spectronomy; materials engineering; microbes; modeling; nematodes; nutrient cycle; outreach; pathology; pest mgmt; plant health; plant improvement; plant signalling; precision ag; proteomics; regenerative ag; regulatory science; renewable energy; resource economics; risk management; science communication; sensing; social sciences; soil; supply chain; sustainable ag; synthetic biology; waste management,50,3.9120230054281455,0.9999999999999999,0.98,0.020000000000000004,0.3556108978132989
10.1002/9781119098935.ch35,10.1002/9781119098935.ch35,"Sweetpotato Production, Processing, and Nutritional Quality",2018,4,1,3,Agtech; bioremediation; biotic stress; breeding; carbon capture; community; conservation; CRISPR; data analytics; data science; digital twin; digital twins; disease control; Ecology; food security; food systems; fungi; Genetics; genomics; geospatial; imaging; IoT; materials engineering; microbes; modeling; nematodes; nutrient cycle; outreach; pathology; pest mgmt; plant health; plant improvement; plant signalling; policy; precision ag; proteomics; regenerative ag; regulatory science; renewable energy; resource economics; science communication; sensing; social sciences; soil; supply chain; sustainable ag; waste management,47,3.850147601710058,0.9999999999999999,0.9787234042553191,0.021276595744680847,0.3567243988052906
10.1002/ADFM.201605014,10.1002/ADFM.201605014,Declamped Piezoelectric Coefficients in Patterned 70/30 Lead Magnesium Niobate-Lead Titanate Thin Films,2017,9,1,8,materials engineering,1,-0.0,0.0,0.0,1.0,0.0
10.1002/ADFM.201700239,10.1002/ADFM.201700239,"Neuro-Nano Interfaces: Utilizing Nano-Coatings and Nanoparticles to Enable Next-Generation Electrophysiological Recording, Neural Stimulation, and Biochemical Modulation",2017,3,1,2,Agtech; automation; CRISPR; digital twin; digital twins; Ecology; gene expression; Genetics; genomics; imaging; IoT; materials engineering; microbes; modeling; pathology; precision ag; proteomics; regenerative ag; regulatory science; renewable energy; robotics; science communication; sensing; soil; sustainable ag; synthetic biology,26,3.2580965380214826,1.0000000000000002,0.9615384615384616,0.038461538461538464,0.3083782336287414
10.1002/ADFM.201700461,10.1002/ADFM.201700461,Flexible Inorganic Ferroelectric Thin Films for Nonvolatile Memory Devices,2017,11,4,7,materials engineering,1,-0.0,0.0,0.0,1.0,0.0
