author,nc_state,paper_count,topic_assignments,num_topics,shannon_entropy,normalized_shannon,blau_index,hhi,rao_stirling
"Choe, Kisurb",False,1,4,4,1.3862943611198906,1.0,0.75,0.25,0.4867686839651754
"Thomas, Anna",False,1,4,4,1.3862943611198906,1.0,0.75,0.25,0.4867686839651754
"Brawner, Jeremy",False,1,7,7,1.945910149055313,0.9999999999999999,0.8571428571428572,0.14285714285714285,0.4394585115725572
"Hudson, Owen",False,1,7,7,1.945910149055313,0.9999999999999999,0.8571428571428572,0.14285714285714285,0.4394585115725572
"Messina, Charlie",False,1,7,7,1.945910149055313,0.9999999999999999,0.8571428571428572,0.14285714285714285,0.4394585115725572
"Resende Jr, Marcio F. R.",False,1,7,7,1.945910149055313,0.9999999999999999,0.8571428571428572,0.14285714285714285,0.4394585115725572
"Crawford, Kerri M.",False,1,9,9,2.1972245773362196,1.0,0.8888888888888888,0.1111111111111111,0.4371579100658919
"Bello-Bello, Elohim",False,1,11,11,2.3978952727983707,1.0,0.9090909090909091,0.09090909090909091,0.4317086208482705
"Olalde-Portugal, Victor",False,1,11,11,2.3978952727983707,1.0,0.9090909090909091,0.09090909090909091,0.4317086208482705
"Rosario Ramirez-Flores, M.",False,1,11,11,2.3978952727983707,1.0,0.9090909090909091,0.09090909090909091,0.4317086208482705
"D′Ambrosio, Damon A",False,1,20,20,2.995732273553991,1.0,0.95,0.05000000000000002,0.3981476700203662
"Head, Graham P",False,1,20,20,2.995732273553991,1.0,0.95,0.05000000000000002,0.3981476700203662
"Yorke, Benjamin T",False,1,20,20,2.995732273553991,1.0,0.95,0.05000000000000002,0.3981476700203662
"Adams, Mike L.",False,1,9,9,2.1972245773362196,1.0,0.8888888888888888,0.1111111111111111,0.3927782220335462
"Owen, Micheal D.K.",False,1,33,33,3.4965075614664802,1.0,0.9696969696969697,0.03030303030303031,0.3842233796135648
"Carretero-Paulet, Lorenzo",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Chang, Jiyang",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Garcia-Llanos, Armando",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Ma, Xiao",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Marczuk-Rojas, Juan Pablo",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Peer, Yves",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Waterman, Carrie",False,1,35,35,3.5553480614894135,1.0,0.9714285714285714,0.028571428571428567,0.3835770198483077
"Dong, Xinnian",False,1,34,34,3.526360524616162,1.0000000000000002,0.9705882352941176,0.029411764705882353,0.38310224331984266
"Kuehn, Meta J.",False,1,34,34,3.526360524616162,1.0000000000000002,0.9705882352941176,0.029411764705882353,0.38310224331984266
"McMillan, Hannah M.",False,1,34,34,3.526360524616162,1.0000000000000002,0.9705882352941176,0.029411764705882353,0.38310224331984266
"Gage, Karla L.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Gibson, David J.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Matthews, Joseph L.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Ren, Zhe",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Shaw, David R.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Weller, Stephen C.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Wilson, Robert G.",False,1,52,52,3.951243718581428,1.0000000000000002,0.9807692307692307,0.019230769230769232,0.3741841720101484
"Kumar, Sunil",False,1,47,47,3.850147601710058,0.9999999999999999,0.9787234042553191,0.021276595744680847,0.3737469458393916
