title,authors,nc_state_people,DOI,year,topics,nc_authors,unity_ids
Calibration of soil moisture sensing with subsurface heated fiber optics using numerical simulation,"Benítez-Buelga, Javier; Rodríguez-Sinobas, Leonor; Sánchez Calvo, Raul; Gil-Rodríguez, María; Sayde, Chadi; Selker, John S.",Chadi Sayde (csayde),10.1002/2015wr017897,2016,"materials engineering; soil; modeling; carbon capture; sensing","Sayde, Chadi",csayde
"Temporal variability in the importance of hydrologic, biotic, and climatic descriptors of dissolved oxygen dynamics in a shallow tidal-marsh creek","Nelson, Natalie G.; Muñoz-Carpena, Rafael; Neale, Patrick J.; Tzortziou, Maria; Megonigal, J. Patrick",Natalie Nelson (nnelson4),10.1002/2016WR020196,2017,,"Nelson, Natalie",nnelson4
Failure of Taylor's hypothesis in the atmospheric surface layer and its correction for eddy-covariance measurements,"Cheng, Yu; Sayde, Chadi; Li, Qi; Basara, Jeffrey; Selker, John; Tanner, Evan; Gentine, Pierre",Chadi Sayde (csayde),10.1002/2017gl073499,2017,"sensing","Sayde, Chadi",csayde
Spatial Patterns of Development Drive Water Use,"Sanchez, G. M.; Smith, J. W.; Terando, A.; Sun, G.; Meentemeyer, R. K.",Georgina Sanchez (gmsanche); Ross Meentemeyer (rkmeente),10.1002/2017wr021730,2018,"conservation; social sciences; resource economics; machine learning; modeling; sustainable ag; decision support; community; soil; data analytics; food systems; data science; carbon capture; policy; risk management; Ecology; waste management; disease control; geospatial; nutrient cycle; food security; renewable energy","Sanchez, Georgina; Meentemeyer, Ross",gmsanche; rkmeente
A Proteomic-Based Quantitative Analysis of the Relationship Between Monolignol Biosynthetic Protein Abundance and Lignin Content Using TransgenicPopulus trichocarpa,"Wang, Jack P.; Tunlaya-Anukit, Sermsawat; Shi, Rui; Yeh, Ting-Feng; Chuang, Ling; Isik, Fikret; Yang, Chenmin; Liu, Jie; Li, Quanzi; Loziuk, Philip L.; Naik, Punith P.; Muddiman, David C.; Ducoste, Joel J.; Williams, Cranos M.; Sederoff, Ronald R.; Chiang, Vincent L.",Jack Wang (jpwang); Joel Ducoste (jducoste); Fikret Isik (fisik),10.1002/9781118883303.ch4,2016,"breeding; pest mgmt; outreach; microbes; Agtech; conservation; social sciences; robotics; gene expression; resource economics; regenerative ag; bioremediation; precision ag; proteomics; machine learning; modeling; plant health; synthetic biology; sustainable ag; digital twin; labor; imaging; digital ag; plant improvement; nematodes; society; regulatory science; education; decision support; community; artificial intelligence; mass spectronomy; Genetics; genomics; soil; science communication; data analytics; plant signalling; data science; resilient ag; carbon capture; Ag economics; food systems; workforce development; policy; CPS; fungi; risk management; Ecology; CRISPR; waste management; materials engineering; computer vision; sensors; disease control; digital twins; automation; IoT; supply chain; geospatial; nutrient cycle; biotic stress; food security; renewable energy; sensing; pathology; extension","Wang, Jack; Ducoste, Joel; Isik, Fikret",jpwang; jducoste; fisik
Innovative Processing Technologies for Mango Products,"Salvi, Deepti; Arserim, Ender; Karwe, Mukund",Deepti Salvi (dasalvi),10.1002/9781119014362.ch9,2017,"breeding; pest mgmt; outreach; microbes; Agtech; conservation; social sciences; gene expression; resource economics; regenerative ag; bioremediation; precision ag; proteomics; machine learning; modeling; plant health; synthetic biology; sustainable ag; imaging; nematodes; plant improvement; regulatory science; community; Genetics; mass spectronomy; genomics; soil; science communication; data analytics; plant signalling; data science; carbon capture; food systems; fungi; risk management; Ecology; CRISPR; waste management; materials engineering; computer vision; disease control; automation; IoT; supply chain; nutrient cycle; biotic stress; food security; renewable energy; sensing; pathology","Salvi, Deepti",dasalvi
"Sweetpotato Production, Processing, and Nutritional Quality","Truong, V. D.; Avula, R. Y.; Pecota, K. V.; Yencho, G. C.",Craig Yencho (yencho),10.1002/9781119098935.ch35,2018,"breeding; pest mgmt; outreach; microbes; Agtech; conservation; social sciences; resource economics; regenerative ag; bioremediation; precision ag; proteomics; modeling; plant health; sustainable ag; digital twin; imaging; nematodes; plant improvement; regulatory science; community; Genetics; genomics; soil; science communication; data analytics; plant signalling; data science; carbon capture; food systems; policy; fungi; Ecology; CRISPR; waste management; materials engineering; disease control; digital twins; IoT; supply chain; geospatial; nutrient cycle; biotic stress; food security; renewable energy; sensing; pathology","Yencho, Craig",yencho
Declamped Piezoelectric Coefficients in Patterned 70/30 Lead Magnesium Niobate-Lead Titanate Thin Films,"Keech, Ryan; Ye, Linghan; Bosse, James L.; Esteves, Giovanni; Guerrier, Jonathon; Jones, Jacob L.; Kuroda, Marcelo A.; Huey, Bryan D.; Trolier-McKinstry, Susan",Jacob Jones (jljone21),10.1002/ADFM.201605014,2017,"materials engineering","Jones, Jacob",jljone21
"Neuro-Nano Interfaces: Utilizing Nano-Coatings and Nanoparticles to Enable Next-Generation Electrophysiological Recording, Neural Stimulation, and Biochemical Modulation","Young, Ashlyn T.; Cornwell, Neil; Daniele, Michael A.",Michael Daniele (mdaniel6),10.1002/ADFM.201700239,2017,"microbes; Agtech; robotics; gene expression; regenerative ag; precision ag; proteomics; modeling; synthetic biology; sustainable ag; digital twin; imaging; regulatory science; Genetics; genomics; soil; science communication; Ecology; CRISPR; materials engineering; digital twins; automation; IoT; renewable energy; sensing; pathology","Daniele, Michael",mdaniel6
Flexible Inorganic Ferroelectric Thin Films for Nonvolatile Memory Devices,"Yu, Hyeonggeun; Chung, Ching-Chang; Shewmon, Nate; Ho, Szuheng; Carpenter, Joshua H.; Larrabee, Ryan; Sun, Tianlei; Jones, Jacob L.; Ade, Harald; O'Connor, Brendan T.; So, Franky",Franky So (fso); Harald Ade (hwade); Brendan O'Connor (btoconno); Jacob Jones (jljone21),10.1002/ADFM.201700461,2017,"materials engineering","So, Franky; Ade, Harald; O'Connor, Brendan; Jones, Jacob",fso; hwade; btoconno; jljone21
"Neuro Interfaces: Neuro-Nano Interfaces: Utilizing Nano-Coatings and Nanoparticles to Enable Next-Generation Electrophysiological Recording, Neural Stimulation, and Biochemical Modulation (Adv. Funct. Mater. 12/2018)","Young, Ashlyn T.; Cornwell, Neil; Daniele, Michael A.",Michael Daniele (mdaniel6),10.1002/ADFM.201870079,2018,"outreach; microbes; Agtech; social sciences; robotics; gene expression; regenerative ag; precision ag; proteomics; machine learning; modeling; synthetic biology; sustainable ag; digital twin; imaging; regulatory science; community; artificial intelligence; Genetics; genomics; soil; science communication; resilient ag; carbon capture; policy; fungi; Ecology; CRISPR; materials engineering; computer vision; sensors; disease control; digital twins; automation; IoT; renewable energy; sensing; pathology","Daniele, Michael",mdaniel6
Connecting the Multiscale Structure with Macroscopic Response of Relaxor Ferroelectrics,"Otoničar, Mojca; Bradeško, Andraž; Fulanović, Lovro; Kos, Tomaž; Uršič, Hana; Benčan, Andreja; Cabral, Matthew J.; Henriques, Alexandra; Jones, Jacob L.; Riemer, Lukas; Damjanovic, Dragan; Dražić, Goran; Malič, Barbara; Rojac, Tadej",Alexandra Henriques (ajhenri3); Jacob Jones (jljone21); Matthew J. Cabral (mjcabral),10.1002/adfm.202006823,2020,"materials engineering; science communication; digital twin; imaging; sensing","Henriques, Alexandra; Jones, Jacob; Cabral, Matthew J.",ajhenri3; jljone21; mjcabral
Engineering Next Generation Cyclized Peptide Ligands for Light-Controlled Capture and Release of Therapeutic Proteins,"Prodromou, Raphael; Day, Kevin N.; Saberi-Bosari, Sahand; Schneible, John D.; Mabe, Matthew D.; San Miguel, Adriana; Daniele, Michael A.; Pozdin, Vladimir; Menegatti, Stefano",Raphael Prodromou (rprodro); Kevin Day (knday); John Schneible (jdschnei); Adriana San Miguel (asanmig); Michael Daniele (mdaniel6); Vladimir Pozdin (vapozdin); Stefano Menegatti (smenega),10.1002/adfm.202101410,2021,"materials engineering; genomics; proteomics; microbes; Agtech; science communication; synthetic biology; gene expression; imaging; regulatory science; regenerative ag; sensing; CRISPR","Prodromou, Raphael; Day, Kevin; Schneible, John; Miguel, Adriana San; Daniele, Michael; Pozdin, Vladimir; Menegatti, Stefano",rprodro; knday; jdschnei; asanmig; mdaniel6; vapozdin; smenega
Ultra-High Alignment of Polymer Semiconductor Blends Enabling Photodetectors with Exceptional Polarization Sensitivity,"Schrickx, Harry M.; Sen, Pratik; Booth, Ronald E.; Altaqui, Ali; Burleson, Jacob; Rech, Jeromy J.; Lee, Jin-Woo; Biliroglu, Melike; Gundogdu, Kenan; Kim, Bumjoon J.; You, Wei; Kudenov, Michael W.; Brendan T. O'Connor, ",Harry Schrickx (hschric); Pratik Sen (psen2); Ronald Booth (rebooth); Ali Altaqui (aaaltaqu); Melike Biliroglu (mbiliro); Kenan Gundogdu (kgundog); Michael Kudenov (mwkudeno); Jacob Burleson (jdburle2); Jaime Rechy (jrechy); Brendan O'Connor (btoconno),10.1002/adfm.202105820,2021,,"Schrickx, Harry; Sen, Pratik; Booth, Ronald; Altaqui, Ali; Biliroglu, Melike; Gundogdu, Kenan; Kudenov, Michael; Burleson, Jacob; Rechy, Jaime; O'Connor, Brendan",hschric; psen2; rebooth; aaaltaqu; mbiliro; kgundog; mwkudeno; jdburle2; jrechy; btoconno
Emerging Wearable Sensors for Plant Health Monitoring,"Lee, Giwon; Wei, Qingshan; Zhu, Yong",Qingshan Wei (qwei3); Yong Zhu (yzhu7); Giwon Lee (glee8),10.1002/adfm.202106475,2021,"breeding; pest mgmt; microbes; Agtech; conservation; social sciences; robotics; gene expression; regenerative ag; precision ag; proteomics; machine learning; modeling; plant health; plant-microbe interactions; synthetic biology; sustainable ag; digital twin; imaging; nematodes; plant improvement; regulatory science; decision support; community; artificial intelligence; Genetics; genomics; soil; science communication; data analytics; plant signalling; data science; carbon capture; food systems; fungi; Ecology; CRISPR; materials engineering; computer vision; sensors; disease control; automation; IoT; nutrient cycle; biotic stress; food security; renewable energy; sensing; pathology","Wei, Qingshan; Zhu, Yong; Lee, Giwon",qwei3; yzhu7; glee8
Molecular Engineering of Cyclic Azobenzene‐Peptide Hybrid Ligands for the Purification of Human Blood Factor VIII via Photo‐Affinity Chromatography,"Prodromou, Raphael; Moore, Brandyn David; Chu, Wenning; Deal, Halston; San Miguel, Adriana; Brown, Ashley Carson; Daniele, Michael Angelo‐Anthony; Pozdin, Vladimir Aleksandrovich; Menegatti, Stefano",Raphael Prodromou (rprodro); Brandyn Moore (bdmoore2); Wenning Chu (wchu3); Halston Deal (hdeal); Adriana San Miguel (asanmig); Ashley Brown (aecarso2); Michael Daniele (mdaniel6); Vladimir Pozdin (vapozdin); Stefano Menegatti (smenega),10.1002/adfm.202213881,2023,"genomics; proteomics; microbes; science communication; synthetic biology; food systems; regulatory science; regenerative ag; CRISPR","Prodromou, Raphael; Moore, Brandyn; Chu, Wenning; Deal, Halston; Miguel, Adriana San; Brown, Ashley; Daniele, Michael; Pozdin, Vladimir; Menegatti, Stefano",rprodro; bdmoore2; wchu3; hdeal; asanmig; aecarso2; mdaniel6; vapozdin; smenega
Liquid Metal-Based Biosensors: Fundamentals and Applications,"Jamalzadegan, Sina; Kim, Sooyoung; Mohammad, Noor; Koduri, Harshita; Hetzler, Zach; Lee, Giwon; Dickey, Michael D.; Wei, Qingshan",Sina Jamalzadegan (sjamalz); Sooyoung Kim (skim94); Noor Mohammad (nmohamm3); Zach Hetzler (zjhetzle); Giwon Lee (glee8); Michael Dickey (mddickey); Qingshan Wei (qwei3),10.1002/adfm.202308173,2024,"microbes; Agtech; gene expression; regenerative ag; precision ag; proteomics; machine learning; modeling; synthetic biology; sustainable ag; digital twin; imaging; regulatory science; decision support; Genetics; soil; genomics; science communication; food systems; carbon capture; fungi; Ecology; CRISPR; materials engineering; sensors; digital twins; automation; IoT; renewable energy; sensing; pathology","Jamalzadegan, Sina; Kim, Sooyoung; Mohammad, Noor; Hetzler, Zach; Lee, Giwon; Dickey, Michael; Wei, Qingshan",sjamalz; skim94; nmohamm3; zjhetzle; glee8; mddickey; qwei3
Exceptional Alignment in a Donor-Acceptor Conjugated Polymer via a Previously Unobserved Liquid Crystal Mesophase,"Schrickx, Harry M.; Kashani, Somayeh; Buck, Lauren; Ding, Kan; Rech, Jeromy J.; Flagg, Lucas Q.; Li, Ruipeng; Kudenov, Michael W.; You, Wei; Richter, Lee J.; Ade, Harald; Brendan T. O'Connor, ",Harry Schrickx (hschric); Somayeh Kashani (skashan); Kan Ding (kding4); Michael Kudenov (mwkudeno); Harald Ade (hwade); Brendan O'Connor (btoconno),10.1002/adfm.202315183,2024,"materials engineering","Schrickx, Harry; Kashani, Somayeh; Ding, Kan; Kudenov, Michael; Ade, Harald; O'Connor, Brendan",hschric; skashan; kding4; mwkudeno; hwade; btoconno
Tunable Infrared Emissivity Using Laser-Sintered Liquid Metal Nanoparticle Films,"Im, Sooik; Frey, Ethan; Kim, Do Hyeon; Heo, Se-Yeon; Song, Young Min; Vong, Man Hou; Jamalzadegan, Sina; Wei, Qingshan; Gregg, Amanda A.; Khatib, Omar; Padilla, Willie J.; Genzer, Jan; Dickey, Michael D.",Sooik Im (sim2); Ethan Frey (ejfrey3); Sina Jamalzadegan (sjamalz); Qingshan Wei (qwei3); Jan Genzer (jgenzer); Michael Dickey (mddickey); Man Hou Vong (mvong),10.1002/adfm.202422453,2024,"materials engineering; sensing","Im, Sooik; Frey, Ethan; Jamalzadegan, Sina; Wei, Qingshan; Genzer, Jan; Dickey, Michael; Vong, Man Hou",sim2; ejfrey3; sjamalz; qwei3; jgenzer; mddickey; mvong
A Wearable Hydration Sensor with Conformal Nanowire Electrodes,"Yao, Shanshan; Myers, Amanda; Malhotra, Abhishek; Lin, Feiyan; Bozkurt, Alper; Muth, John F.; Zhu, Yong",Amanda Mills (acmyers3); Yong Zhu (yzhu7); John Muth (muth); Alper Bozkurt (aybozkur),10.1002/adhm.201601159,2017,"materials engineering; sensing","Mills, Amanda; Zhu, Yong; Muth, John; Bozkurt, Alper",acmyers3; yzhu7; muth; aybozkur
