Unnamed: 0,title,authors,nc_state_people,DOI,PMID,year,url,topics,abstract,semantically_matched_keywords_hf_0_6,semantically_matched_topics_hf_0_6,updated_topics,semantically_matched_topics_hf_0_8
0,Mapping variability of soil water content and flux across 1-1000 m scales using the Actively Heated Fiber Optic method,"Sayde, Chadi; Buelga, Javier Benitez; Rodriguez-Sinobas, Leonor; El Khoury, Laureine; English, Marshall; van de Giesen, Nick; Selker, John S.",Chadi Sayde (csayde),10.1002/2013wr014983,,2014,https://openalex.org/W2160181936,Soil Moisture and Remote Sensing; Thermal Analysis in Power Transmission; Geothermal Energy Systems and Applications,"Abstract The Actively Heated Fiber Optic (AHFO) method is shown to be capable of measuring soil water content several times per hour at 0.25 m spacing along cables of multiple kilometers in length. AHFO is based on distributed temperature sensing (DTS) observation of the heating and cooling of a buried fiber‐optic cable resulting from an electrical impulse of energy delivered from the steel cable jacket. The results presented were collected from 750 m of cable buried in three 240 m colocated transects at 30, 60, and 90 cm depths in an agricultural field under center pivot irrigation. The calibration curve relating soil water content to the thermal response of the soil to a heat pulse of 10 W m −1 for 1 min duration was developed in the lab. This calibration was found applicable to the 30 and 60 cm depth cables, while the 90 cm depth cable illustrated the challenges presented by soil heterogeneity for this technique. This method was used to map with high resolution the variability of soil water content and fluxes induced by the nonuniformity of water application at the surface.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","['soil', 'sensing']","[0, 28]"
1,Natural gas price uncertainty and the cost‐effectiveness of hedging against low hydropower revenues caused by drought,"Kern, Jordan D.; Characklis, Gregory W.; Foster, Benjamin T.",Jordan Kern (jkern),10.1002/2014wr016533,,2015,https://openalex.org/W2093917128,Water resources management and optimization; Agricultural risk and resilience; Electric Power System Optimization,"Abstract Prolonged periods of low reservoir inflows (droughts) significantly reduce a hydropower producer's ability to generate both electricity and revenues. Given the capital intensive nature of the electric power industry, this can impact hydropower producers’ ability to pay down outstanding debt, leading to credit rating downgrades, higher interests rates on new debt, and ultimately, greater infrastructure costs. One potential tool for reducing the financial exposure of hydropower producers to drought is hydrologic index insurance, in particular, contracts structured to payout when streamflows drop below a specified level. An ongoing challenge in developing this type of insurance, however, is minimizing contracts’ “basis risk,” that is, the degree to which contract payouts deviate in timing and/or amount from actual damages experienced by policyholders. In this paper, we show that consideration of year‐to‐year changes in the value of hydropower (i.e., the cost of replacing it with an alternative energy source during droughts) is critical to reducing contract basis risk. In particular, we find that volatility in the price of natural gas, a key driver of peak electricity prices, can significantly degrade the performance of index insurance unless contracts are designed to explicitly consider natural gas prices when determining payouts. Results show that a combined index whose value is derived from both seasonal streamflows and the spot price of natural gas yields contracts that exhibit both lower basis risk and greater effectiveness in terms of reducing financial exposure.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",['risk management'],[53]
2,High-resolution wind speed measurements using actively heated fiber optics,"Sayde, Chadi; Thomas, Christoph K.; Wagner, James; Selker, John",Chadi Sayde (csayde),10.1002/2015gl066729,,2015,https://openalex.org/W2258664150,Seismic Waves and Analysis; Meteorological Phenomena and Simulations; Wind and Air Flow Studies,"Abstract We present a novel technique to simultaneously measure wind speed ( U ) at thousands of locations continuously in time based on measurement of velocity‐dependent heat transfer from a heated surface. Measuring temperature differences between paired passive and actively heated fiber‐optic (AHFO) cables with a distributed temperature sensing system allowed estimation of U at over 2000 sections along the 230 m transect (resolution of 0.375 m and 5.5 s). The underlying concept is similar to that of a hot wire anemometer extended in space. The correlation coefficient between U measured by two colocated sonic anemometers and the AHFO were 0.91 during the day and 0.87 at night. The combination of classical passive and novel AHFO provides unprecedented dynamic observations of both air temperature and wind speed spanning 4 orders of magnitude in spatial scale (0.1–1000 m) while resolving individual turbulent motions, opening new opportunities for testing basic theories for near‐surface geophysical flows.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",['sensing'],[0]
3,Calibration of soil moisture sensing with subsurface heated fiber optics using numerical simulation,"Benítez-Buelga, Javier; Rodríguez-Sinobas, Leonor; Sánchez Calvo, Raul; Gil-Rodríguez, María; Sayde, Chadi; Selker, John S.",Chadi Sayde (csayde),10.1002/2015wr017897,,2016,https://openalex.org/W2298265415,Soil Moisture and Remote Sensing; Soil and Unsaturated Flow; Geothermal Energy Systems and Applications,"Abstract The heat pulse probe method can be implemented with actively heated fiber optics (AHFO) to obtain distributed measurements of soil water content (θ) by using reported soil thermal responses measured by Distributed Temperature Sensing (DTS) and with a soil‐specific calibration relationship. However, most reported applications have been calibrated to homogeneous soils in a laboratory, while inexpensive efficient in situ calibration procedures useful in heterogeneous soils are lacking. Here we employed the Hydrus 2‐D/3‐D code to define a soil‐specific calibration curve. We define a 2‐D geometry of the fiber optic cable and the surrounding soil media, and simulate heat pulses to capture the soil thermal response at different soil water contents. The model was validated in an irrigated field using DTS data from two locations along the FO deployment in which reference moisture sensors were installed. Results indicate that θ was measured with the model‐based calibration with accuracy better than 0.022 m 3 m −3 .","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","['materials engineering', 'soil', 'modeling', 'carbon capture', 'sensing']","[0, 48, 5, 28, 45]"
4,Mapping high-resolution soil moisture and properties using distributed temperature sensing data and an adaptive particle batch smoother,,Chadi Sayde (csayde),10.1002/2016wr019031,,2016,https://openalex.org/W2521661497,Soil Moisture and Remote Sensing; Soil and Unsaturated Flow; Cryospheric studies and observations,"This study demonstrated a new method for mapping high-resolution (spatial: 1 m, and temporal: 1 h) soil moisture by assimilating distributed temperature sensing (DTS) observed soil temperatures at intermediate scales. In order to provide robust soil moisture and property estimates, we first proposed an adaptive particle batch smoother algorithm (APBS). In the APBS, a tuning factor, which can avoid severe particle weight degeneration, is automatically determined by maximizing the reliability of the soil temperature estimates of each batch window. A multiple truth synthetic test was used to demonstrate the APBS can robustly estimate soil moisture and properties using observed soil temperatures at two shallow depths. The APBS algorithm was then applied to DTS data along a 71 m transect, yielding an hourly soil moisture map with meter resolution. Results show the APBS can draw the prior guessed soil hydraulic and thermal properties significantly closer to the field measured reference values. The improved soil properties in turn remove the soil moisture biases between the prior guessed and reference soil moisture, which was particularly noticeable at depth above 20 cm. This high-resolution soil moisture map demonstrates the potential of characterizing soil moisture temporal and spatial variability and reflects patterns consistent with previous studies conducted using intensive point scale soil moisture samples. The intermediate scale high spatial resolution soil moisture information derived from the DTS may facilitate remote sensing soil moisture product calibration and validation. In addition, the APBS algorithm proposed in this study would also be applicable to general hydrological data assimilation problems for robust model state and parameter estimation.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",[],[]
5,"Temporal variability in the importance of hydrologic, biotic, and climatic descriptors of dissolved oxygen dynamics in a shallow tidal-marsh creek","Nelson, Natalie G.; Muñoz-Carpena, Rafael; Neale, Patrick J.; Tzortziou, Maria; Megonigal, J. Patrick",Natalie Nelson (nnelson4),10.1002/2016WR020196,,2017,https://openalex.org/W2736623233,Coastal wetland ecosystem dynamics; Marine and coastal ecosystems; Coastal and Marine Dynamics,"Abstract Due to strong abiotic forcing, dissolved oxygen (DO) in shallow tidal creeks often disobeys the conventional explanation of general aquatic DO cycling as biologically regulated. In the present work, we seek to quantify the relative importance of abiotic (hydrologic and climatic), and biotic (primary productivity as represented by chlorophyll‐ a ) descriptors of tidal creek DO. By fitting multiple linear regression models of DO to hourly chlorophyll‐ a , water quality, hydrology, and weather data collected in a tidal creek of a Chesapeake Bay marsh (Maryland, USA), temporal shifts (summer‐early winter) in the relative importance of tidal creek DO descriptors were uncovered. Moreover, this analysis identified an alternative approach to evaluating tidal stage as a driver of DO by dividing stage into two DO‐relevant variables: stage above and below bankfull depth. Within the hydrologic variable class, stage below bankfull depth dominated as an important descriptor, thus highlighting the role of pore water drainage and mixing as influential processes forcing tidal creek DO. Study findings suggest that tidal creek DO dynamics are explained by a balance of hydrologic, climatic, and biotic descriptors during warmer seasons due to many of these variables (i.e., chlorophyll‐ a , water temperature) acting as tracers of estuarine‐marsh water mixing; conversely, in early winter months when estuarine and marsh waters differ less distinctly, hydrologic variables increase in relative importance as descriptors of tidal creek DO. These findings underline important distinctions in the underlying mechanisms dictating DO variability in shallow tidal marsh‐creek environments relative to open water estuarine systems.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",[],[]
6,Failure of Taylor's hypothesis in the atmospheric surface layer and its correction for eddy-covariance measurements,"Cheng, Yu; Sayde, Chadi; Li, Qi; Basara, Jeffrey; Selker, John; Tanner, Evan; Gentine, Pierre",Chadi Sayde (csayde),10.1002/2017gl073499,,2017,https://openalex.org/W2605607141,Plant Water Relations and Carbon Dynamics; Wind and Air Flow Studies; Meteorological Phenomena and Simulations,"Abstract Taylors' frozen turbulence hypothesis suggests that all turbulent eddies are advected by the mean streamwise velocity, without changes in their properties. This hypothesis has been widely invoked to compute Reynolds averaging using temporal turbulence data measured at a single point in space. However, in the atmospheric surface layer, the exact relationship between convection velocity and wave number k has not been fully revealed since previous observations were limited by either their spatial resolution or by the sampling length. Using Distributed Temperature Sensing (DTS), acquiring turbulent temperature fluctuations at high temporal and spatial frequencies, we computed convection velocities across wave numbers using a phase spectrum method. We found that convection velocity decreases as k −1/3 at the higher wave numbers of the inertial subrange instead of being independent of wave number as suggested by Taylor's hypothesis. We further corroborated this result using large eddy simulations. Applying Taylor's hypothesis thus systematically underestimates turbulent spectrum in the inertial subrange. A correction is proposed for point‐based eddy‐covariance measurements, which can improve surface energy budget closure and estimates of CO 2 fluxes.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",['sensing'],[0]
7,Spatial Patterns of Development Drive Water Use,"Sanchez, G. M.; Smith, J. W.; Terando, A.; Sun, G.; Meentemeyer, R. K.",Georgina Sanchez (gmsanche); Ross Meentemeyer (rkmeente),10.1002/2017wr021730,,2018,https://openalex.org/W2790262921,Water resources management and optimization; Land Use and Ecosystem Services; Economic and Environmental Valuation,"Abstract Water availability is becoming more uncertain as human populations grow, cities expand into rural regions and the climate changes. In this study, we examine the functional relationship between water use and the spatial patterns of developed land across the rapidly growing region of the southeastern United States. We quantified the spatial pattern of developed land within census tract boundaries, including multiple metrics of density and configuration. Through non‐spatial and spatial regression approaches we examined relationships and spatial dependencies between the spatial pattern metrics, socio‐economic and environmental variables and two water use variables: a) domestic water use, and b) total development‐related water use (a combination of public supply, domestic self‐supply and industrial self‐supply). Metrics describing the spatial patterns of development had the highest measure of relative importance (accounting for 53% of model's explanatory power), explaining significantly more variance in water use compared to socio‐economic or environmental variables commonly used to estimate water use. Integrating metrics characterizing the spatial pattern of development into water use models is likely to increase their utility and could facilitate water‐efficient land use planning.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","['conservation', 'social sciences', 'resource economics', 'machine learning', 'modeling', 'sustainable ag', 'decision support', 'community', 'soil', 'data analytics', 'food systems', 'data science', 'carbon capture', 'policy', 'risk management', 'Ecology', 'waste management', 'disease control', 'geospatial', 'nutrient cycle', 'food security', 'renewable energy']","[67, 4, 5, 7, 11, 13, 27, 28, 32, 37, 40, 41, 45, 46, 47, 51, 53, 55, 56, 57, 59, 61]"
8,Functions and Applications of RNA-Guided CRISPR-Cas Immune Systems,"Barrangou, Rodolphe; Horvath, Philippe",Rodolphe Barrangou (rbarran),10.1002/3527600906.mcb.20130001,,2014,https://openalex.org/W1504784285,CRISPR and Genetic Engineering; Cytomegalovirus and herpesvirus research; Innovation and Socioeconomic Development,"Clustered regularly interspaced short palindromic repeats (CRISPRs), together with CRISPR-associated sequences (cas) constitute the CRISPR-Cas adaptive immune system in bacteria and archaea. Adaptive immunity is built into CRISPR arrays through the uptake of small pieces of invasive nucleic acids, such as viruses and plasmids. Acquired immunity is subsequently mediated by small interfering RNAs transcribed from these loci, that guide specific cleavage of complementary sequences by nucleases. Studies have established that CRISPR loci and their RNA-guided interference machinery can be exploited for a broad array of applications. Adaptive immunity can be built against viruses, or to preclude the uptake of undesirable sequences. The inheritable and hypervariable nature of these loci can be used to track the phylogenetic path of an organism and reveal the evolutionary interplay between hosts and their viruses. Recently, a new customizable genome editing system was developed based on these versatile interfering RNAs to specifically guide nucleases for sequence cleavage.","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","['genomics', 'proteomics', 'microbes', 'disease control', 'science communication', 'synthetic biology', 'regulatory science', 'fungi', 'regenerative ag', 'Ecology', 'Genetics', 'CRISPR']","[66, 37, 9, 42, 49, 21, 22, 24, 27, 60, 29, 30]"
9,A Proteomic-Based Quantitative Analysis of the Relationship Between Monolignol Biosynthetic Protein Abundance and Lignin Content Using TransgenicPopulus trichocarpa,"Wang, Jack P.; Tunlaya-Anukit, Sermsawat; Shi, Rui; Yeh, Ting-Feng; Chuang, Ling; Isik, Fikret; Yang, Chenmin; Liu, Jie; Li, Quanzi; Loziuk, Philip L.; Naik, Punith P.; Muddiman, David C.; Ducoste, Joel J.; Williams, Cranos M.; Sederoff, Ronald R.; Chiang, Vincent L.",Jack Wang (jpwang); Joel Ducoste (jducoste); Fikret Isik (fisik),10.1002/9781118883303.ch4,,2016,https://openalex.org/W2566078339,Plant Gene Expression Analysis; Biofuel production and bioconversion; Lignin and Wood Chemistry,,"['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'plant-microbe interactions', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]","['breeding', 'pest mgmt', 'outreach', 'microbes', 'Agtech', 'conservation', 'social sciences', 'robotics', 'gene expression', 'resource economics', 'regenerative ag', 'bioremediation', 'precision ag', 'proteomics', 'machine learning', 'modeling', 'plant health', 'synthetic biology', 'sustainable ag', 'digital twin', 'labor', 'imaging', 'digital ag', 'plant improvement', 'nematodes', 'society', 'regulatory science', 'education', 'decision support', 'community', 'artificial intelligence', 'mass spectronomy', 'Genetics', 'genomics', 'soil', 'science communication', 'data analytics', 'plant signalling', 'data science', 'resilient ag', 'carbon capture', 'Ag economics', 'food systems', 'workforce development', 'policy', 'CPS', 'fungi', 'risk management', 'Ecology', 'CRISPR', 'waste management', 'materials engineering', 'computer vision', 'sensors', 'disease control', 'digital twins', 'automation', 'IoT', 'supply chain', 'geospatial', 'nutrient cycle', 'biotic stress', 'food security', 'renewable energy', 'sensing', 'pathology', 'extension']","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]"
