title,authors,nc_state_people,DOI,year,topics,co_author,nc_authors,unity_ids
Mapping variability of soil water content and flux across 1-1000 m scales using the Actively Heated Fiber Optic method,"Sayde, Chadi; Buelga, Javier Benitez; Rodriguez-Sinobas, Leonor; El Khoury, Laureine; English, Marshall; van de Giesen, Nick; Selker, John S.",Chadi Sayde (csayde),10.1002/2013wr014983,2014,Soil Moisture and Remote Sensing; Thermal Analysis in Power Transmission; Geothermal Energy Systems and Applications,"Buelga, Javier Benitez; Rodriguez-Sinobas, Leonor; El Khoury, Laureine; English, Marshall; van de Giesen, Nick; Selker, John S.","Sayde, Chadi",csayde
Natural gas price uncertainty and the cost‐effectiveness of hedging against low hydropower revenues caused by drought,"Kern, Jordan D.; Characklis, Gregory W.; Foster, Benjamin T.",Jordan Kern (jkern),10.1002/2014wr016533,2015,Water resources management and optimization; Agricultural risk and resilience; Electric Power System Optimization,"Characklis, Gregory W.; Foster, Benjamin T.","Kern, Jordan D.",jkern
High-resolution wind speed measurements using actively heated fiber optics,"Sayde, Chadi; Thomas, Christoph K.; Wagner, James; Selker, John",Chadi Sayde (csayde),10.1002/2015gl066729,2015,Seismic Waves and Analysis; Meteorological Phenomena and Simulations; Wind and Air Flow Studies,"Thomas, Christoph K.; Wagner, James; Selker, John","Sayde, Chadi",csayde
Calibration of soil moisture sensing with subsurface heated fiber optics using numerical simulation,"Benítez-Buelga, Javier; Rodríguez-Sinobas, Leonor; Sánchez Calvo, Raul; Gil-Rodríguez, María; Sayde, Chadi; Selker, John S.",Chadi Sayde (csayde),10.1002/2015wr017897,2016,Soil Moisture and Remote Sensing; Soil and Unsaturated Flow; Geothermal Energy Systems and Applications,"Rodríguez-Sinobas, Leonor; Sánchez Calvo, Raul; Gil-Rodríguez, María; Sayde, Chadi; Selker, John S.","Sayde, Chadi",csayde
"Temporal variability in the importance of hydrologic, biotic, and climatic descriptors of dissolved oxygen dynamics in a shallow tidal-marsh creek","Nelson, Natalie G.; Muñoz-Carpena, Rafael; Neale, Patrick J.; Tzortziou, Maria; Megonigal, J. Patrick",Natalie Nelson (nnelson4),10.1002/2016WR020196,2017,Coastal wetland ecosystem dynamics; Marine and coastal ecosystems; Coastal and Marine Dynamics,"Muñoz-Carpena, Rafael; Neale, Patrick J.; Tzortziou, Maria; Megonigal, J. Patrick","Nelson, Natalie G.",nnelson4
Failure of Taylor's hypothesis in the atmospheric surface layer and its correction for eddy-covariance measurements,"Cheng, Yu; Sayde, Chadi; Li, Qi; Basara, Jeffrey; Selker, John; Tanner, Evan; Gentine, Pierre",Chadi Sayde (csayde),10.1002/2017gl073499,2017,Plant Water Relations and Carbon Dynamics; Wind and Air Flow Studies; Meteorological Phenomena and Simulations,"Sayde, Chadi; Li, Qi; Basara, Jeffrey; Selker, John; Tanner, Evan; Gentine, Pierre","Sayde, Chadi",csayde
Spatial Patterns of Development Drive Water Use,"Sanchez, G. M.; Smith, J. W.; Terando, A.; Sun, G.; Meentemeyer, R. K.",Georgina Sanchez (gmsanche); Ross Meentemeyer (rkmeente),10.1002/2017wr021730,2018,Water resources management and optimization; Land Use and Ecosystem Services; Economic and Environmental Valuation,"Smith, J. W.; Terando, A.; Sun, G.; Meentemeyer, R. K.","Sanchez, G. M.; Meentemeyer, R. K.",gmsanche; rkmeente
Functions and Applications of RNA-Guided CRISPR-Cas Immune Systems,"Barrangou, Rodolphe; Horvath, Philippe",Rodolphe Barrangou (rbarran),10.1002/3527600906.mcb.20130001,2014,CRISPR and Genetic Engineering; Cytomegalovirus and herpesvirus research; Innovation and Socioeconomic Development,"Horvath, Philippe","Barrangou, Rodolphe",rbarran
A Proteomic-Based Quantitative Analysis of the Relationship Between Monolignol Biosynthetic Protein Abundance and Lignin Content Using TransgenicPopulus trichocarpa,"Wang, Jack P.; Tunlaya-Anukit, Sermsawat; Shi, Rui; Yeh, Ting-Feng; Chuang, Ling; Isik, Fikret; Yang, Chenmin; Liu, Jie; Li, Quanzi; Loziuk, Philip L.; Naik, Punith P.; Muddiman, David C.; Ducoste, Joel J.; Williams, Cranos M.; Sederoff, Ronald R.; Chiang, Vincent L.",Jack Wang (jpwang); Joel Ducoste (jducoste); Fikret Isik (fisik),10.1002/9781118883303.ch4,2016,Plant Gene Expression Analysis; Biofuel production and bioconversion; Lignin and Wood Chemistry,"Tunlaya-Anukit, Sermsawat; Shi, Rui; Yeh, Ting-Feng; Chuang, Ling; Isik, Fikret; Yang, Chenmin; Liu, Jie; Li, Quanzi; Loziuk, Philip L.; Naik, Punith P.; Muddiman, David C.; Ducoste, Joel J.; Williams, Cranos M.; Sederoff, Ronald R.; Chiang, Vincent L.","Wang, Jack P.; Ducoste, Joel J.; Isik, Fikret",jpwang; jducoste; fisik
Innovative Processing Technologies for Mango Products,"Salvi, Deepti; Arserim, Ender; Karwe, Mukund",Deepti Salvi (dasalvi),10.1002/9781119014362.ch9,2017,Postharvest Quality and Shelf Life Management; Microbial Inactivation Methods; Insect behavior and control techniques,"Arserim, Ender; Karwe, Mukund","Salvi, Deepti",dasalvi
